degree,z,eta,referenceN2,buoyancy,ape,remainder,labelN2
1,-500.0,1e-09,0.0001,-9.999999999998001e-14,4.999999999998668e-23,-1.9999576983973385e-26,9.999999999996001e-05
1,-500.0,-1e-09,0.0001,1.0000000000002001e-13,5.0000000000013344e-23,-1.9999576983973385e-26,0.00010000000000004
1,-500.0,0.1,0.0001,-9.9998e-06,4.999866666666667e-07,-2.0000000000009097e-10,9.999600000000001e-05
1,-500.0,-0.1,0.0001,1.0000200000000001e-05,5.000133333333335e-07,-2.0000000000009097e-10,0.000100004
1,-1.0,0.0,0.00011996000000000001,0.0,0.0,0.0,0.00011996000000000001
1,-1.0,1e-14,0.00011996000000000001,-1.1996000000000001e-18,5.998e-33,-3.974059101830219e-35,0.00011996000000000001
1,-1.0,-1e-14,0.00011996000000000001,1.1996000000000001e-18,5.998e-33,3.574698524100106e-35,0.00011996000000000001
1,-1.0,1e-09,0.00011996000000000001,-1.1995999999998e-13,5.997999999998668e-23,-2.0003777688427808e-26,0.00011995999999996
1,-1.0,-1e-09,0.00011996000000000001,1.1996000000002002e-13,5.998000000001334e-23,-1.9996224489909778e-26,0.00011996000000004
1,-1.0,0.1,0.00011996000000000001,-1.1995800000000001e-05,5.997866666666668e-07,-2.0000000000037782e-10,0.000119956
1,-1.0,-0.1,0.00011996000000000001,1.1996200000000002e-05,5.998133333333334e-07,-1.9999999999962248e-10,0.000119964
1,-500.0,400.0,0.0001,-0.0368,7.146666666666667,-0.0032,8.400000000000001e-05
1,-500.0,-400.0,0.0001,0.0432,8.853333333333333,-0.0032,0.000116
1,1.0,2.0,0.00012,-0.00011998,0.00017996666666666669,-0.00012002,0.00011996000000000001
1,-3.0,-2.0,0.00011988000000000001,0.00023984,0.00023986666666666668,-7.999999999999091e-08,0.00011996000000000001
1,0.0,1e-12,0.00012,-1.1999999999999998e-16,5.999999999999998e-29,-1.66118682109828e-32,0.00011999999999999996
1,-1000.0,9.094947017729282e-13,8e-05,0.0,0.0,-7.275957614183426e-17,8e-05
1,0.0,-9.094947017729282e-13,0.00012,0.0,0.0,1.0913936421275139e-16,0.00012
8,-999.0,0.0,0.00011749333160599979,0.0,0.0,0.0,0.00011749333160599979
8,-999.0,1e-14,0.00011749333160599979,-1.1749333160599977e-18,5.874666580299989e-33,-1.7160435220059004e-34,0.00011749333160599979
8,-999.0,-1e-14,0.00011749333160599979,1.174933316059998e-18,5.8746665802999896e-33,-7.377199775909591e-35,0.00011749333160599979
8,-999.0,1e-09,0.00011749333160599979,-1.1749333160722665e-13,5.874666580381781e-23,1.226850908666054e-24,0.00011749333160845353
8,-999.0,-1e-09,0.00011749333160599979,1.1749333160477293e-13,5.874666580218199e-23,1.2268606918665128e-24,0.00011749333160354605
8,-999.0,0.1,0.00011749333160599979,-1.1761619481972458e-05,5.882858920400658e-07,1.2286321372478619e-08,0.00011773923317810048
8,-999.0,-0.1,0.00011749333160599979,1.17370818258086e-05,5.866500480135703e-07,1.2251334791380312e-08,0.0001172484796314658
8,-750.0,0.0,9e-05,0.0,0.0,0.0,9e-05
8,-750.0,1e-14,9e-05,-9e-19,4.5e-33,-3.294065894508601e-35,9e-05
8,-750.0,-1e-14,9e-05,9e-19,4.5e-33,9.406589450860049e-37,9e-05
8,-750.0,1e-09,9e-05,-9.000000000016e-14,4.5000000000106674e-23,1.5999492180653255e-25,9.000000000032e-05
8,-750.0,-1e-09,9e-05,8.999999999984001e-14,4.4999999999893345e-23,1.5999830993704162e-25,8.999999999968e-05
8,-750.0,0.1,9e-05,-9.001600639615848e-06,4.5010671463593396e-07,1.6006396158469724e-09,9.003201918463234e-05
8,-750.0,-0.1,9e-05,8.998400640383847e-06,4.4989338136404057e-07,1.5993596161545102e-09,8.996801921535232e-05
8,-500.0,0.0,0.00012,0.0,0.0,0.0,0.00012
8,-500.0,1e-14,0.00012,-1.2e-18,6e-33,3.3881317890172014e-35,0.00012
8,-500.0,-1e-14,0.00012,1.2e-18,6e-33,-3.3881317890172014e-35,0.00012
8,-500.0,1e-09,0.00012,-1.2000000000000002e-13,6.000000000000001e-23,3.388130935710941e-30,0.00012
8,-500.0,-1e-09,0.00012,1.2000000000000002e-13,6.000000000000001e-23,-3.388130935710941e-30,0.00012
8,-500.0,0.1,0.00012,-1.1999999146666771e-05,5.999999360000086e-07,-8.53333230595107e-13,0.00011999997440000513
8,-500.0,-0.1,0.00012,1.1999999146666771e-05,5.999999360000086e-07,8.53333230595107e-13,0.00011999997440000513
8,-1.0,0.0,0.00011749333160599979,0.0,0.0,0.0,0.00011749333160599979
8,-1.0,1e-14,0.00011749333160599979,-1.1749333160599977e-18,5.874666580299988e-33,-1.714082283222552e-34,0.00011749333160599976
8,-1.0,-1e-14,0.00011749333160599979,1.174933316059998e-18,5.87466658029999e-33,-7.357587388076106e-35,0.0001174933316059998
8,-1.0,1e-09,0.00011749333160599979,-1.174933316047729e-13,5.874666580218198e-23,-1.2268868444239608e-24,0.00011749333160354602
8,-1.0,-1e-09,0.00011749333160599979,1.1749333160722668e-13,5.874666580381782e-23,-1.2268767888010298e-24,0.00011749333160845354
8,-1.0,0.1,0.00011749333160599979,-1.1737081825808605e-05,5.866500480135706e-07,-1.2251334791374767e-08,0.00011724847963146585
8,-1.0,-0.1,0.00011749333160599979,1.1761619481972453e-05,5.882858920400655e-07,-1.2286321372473022e-08,0.00011773923317810042
8,-500.0,400.0,0.00012,-0.04063716563301587,8.196935406933333,-0.007362834366984127,0.00010843944960000001
8,-500.0,-400.0,0.00012,0.04063716563301587,8.196935406933333,0.007362834366984127,0.00010843944960000001
8,1.0,2.0,0.00012,-0.00011873781281731986,0.00017789783374907214,-0.00012126218718268014,0.00011749333160599979
8,-3.0,-2.0,0.00011279236382481106,0.0002302173997406246,0.00023178427787788066,-4.632672091002462e-06,0.00011749333160599979
8,0.0,1e-12,0.00012,-1.1999999999999872e-16,5.999999999999915e-29,-1.276611868210965e-30,0.00011999999999999744
8,-1000.0,9.094947017729282e-13,0.00012,0.0,0.0,-1.0913936421275139e-16,0.00012
8,0.0,-9.094947017729282e-13,0.00012,0.0,0.0,1.0913936421275139e-16,0.00012
32,-999.0,0.0,9.123953022086886e-05,0.0,0.0,0.0,9.123953022086886e-05
32,-999.0,1e-14,9.123953022086886e-05,-9.123953022086877e-19,4.5619765110434404e-33,-9.257184523888551e-34,9.123953022086886e-05
32,-999.0,-1e-14,9.123953022086886e-05,9.123953022086895e-19,4.561976511043446e-33,-8.94566176244338e-34,9.123953022086886e-05
32,-999.0,1e-09,9.123953022086886e-05,-9.12395302299701e-14,4.561976511650196e-23,9.101229086171336e-24,9.123953023907152e-05
32,-999.0,-1e-09,9.123953022086886e-05,9.123953021176763e-14,4.561976510436692e-23,9.101232195375138e-24,9.123953020266621e-05
32,-999.0,0.1,9.123953022086886e-05,-9.218014645391127e-06,4.62493998606917e-07,9.406162330423967e-08,9.315159270997166e-05
32,-999.0,-0.1,9.123953022086886e-05,9.035915841375914e-06,4.503531404474406e-07,8.80371807109721e-08,8.950820977242703e-05
32,-750.0,0.0,9e-05,0.0,0.0,0.0,9e-05
32,-750.0,1e-14,9e-05,-9e-19,4.5e-33,-8.094065894508601e-35,9e-05
32,-750.0,-1e-14,9e-05,9e-19,4.5000000000000006e-33,-4.705934105491401e-35,9e-05
32,-750.0,1e-09,9e-05,-9.000000000064e-14,4.5000000000426667e-23,6.399847694306402e-25,9.000000000127999e-05
32,-750.0,-1e-09,9e-05,8.999999999936002e-14,4.4999999999573346e-23,6.3998815754365645e-25,8.999999999872002e-05
32,-750.0,0.1,9e-05,-9.00640935847743e-06,4.504273684114303e-07,6.409358477429317e-09,9.012828047213849e-05
32,-750.0,-0.1,9e-05,8.993609414797333e-06,4.4957403958368877e-07,6.390585202669019e-09,8.987228272493288e-05
32,-500.0,0.0,0.00012,0.0,0.0,0.0,0.00012
32,-500.0,1e-14,0.00012,-1.2e-18,6e-33,3.3881317890172e-35,0.00012
32,-500.0,-1e-14,0.00012,1.2e-18,6e-33,-3.3881317890172e-35,0.00012
32,-500.0,1e-09,0.00012,-1.2000000000000002e-13,6.000000000000001e-23,3.388118136117032e-30,0.00012
32,-500.0,-1e-09,0.00012,1.2000000000000002e-13,6.000000000000001e-23,-3.388118136117032e-30,0.00012
32,-500.0,0.1,0.00012,-1.1999986346694521e-05,5.999989760023212e-07,-1.3653305480230574e-11,0.00011999959040139264
32,-500.0,-0.1,0.00012,1.1999986346694521e-05,5.999989760023212e-07,1.3653305480230574e-11,0.00011999959040139264
32,-1.0,0.0,9.123953022086886e-05,0.0,0.0,0.0,9.123953022086886e-05
32,-1.0,1e-14,9.123953022086886e-05,-9.123953022086877e-19,4.561976511043437e-33,-9.242635392275033e-34,9.123953022086867e-05
32,-1.0,-1e-14,9.123953022086886e-05,9.123953022086895e-19,4.561976511043449e-33,-8.93111263082986e-34,9.123953022086904e-05
32,-1.0,1e-09,9.123953022086886e-05,-9.123953021176744e-14,4.5619765104366823e-23,-9.101426203878024e-24,9.123953020266602e-05
32,-1.0,-1e-09,9.123953022086886e-05,9.123953022997029e-14,4.561976511650205e-23,-9.101421073752509e-24,9.123953023907171e-05
32,-1.0,0.1,9.123953022086886e-05,-9.035915841375953e-06,4.503531404474425e-07,-8.80371807109329e-08,8.950820977242741e-05
32,-1.0,-0.1,9.123953022086886e-05,9.218014645391083e-06,4.624939986069148e-07,-9.406162330419615e-08,9.31515927099712e-05
32,-500.0,400.0,0.00012,-0.039816411923654337,7.921145338450894,-0.008183588076345663,9.658317845063209e-05
32,-500.0,-400.0,0.00012,0.039816411923654337,7.921145338450894,0.008183588076345663,9.658317845063209e-05
32,1.0,2.0,0.00012,-0.00010372743794746741,0.00015320812695698315,-0.0001362725620525326,9.123953022086886e-05
32,-3.0,-2.0,8.132171712860622e-05,0.00016519133543283068,0.0001682244880870775,-2.5479011756182556e-06,9.123953022086886e-05
32,0.0,1e-12,0.00012,-1.1999999999997952e-16,5.999999999998635e-29,-2.0476611868206328e-29,0.00011999999999995905
32,-1000.0,9.094947017729282e-13,0.00012,0.0,0.0,-1.0913936421275139e-16,0.00012
32,0.0,-9.094947017729282e-13,0.00012,0.0,0.0,1.0913936421275139e-16,0.00012
64,-999.0,0.0,8.767458307510701e-05,0.0,0.0,0.0,8.767458307510701e-05
64,-999.0,1e-14,8.767458307510701e-05,-8.767458307510716e-19,4.383729153755356e-33,1.5657968698909e-33,8.767458307510701e-05
64,-999.0,-1e-14,8.767458307510701e-05,8.767458307510686e-19,4.383729153755345e-33,1.6235128258207082e-33,8.767458307510701e-05
64,-999.0,1e-09,8.767458307510701e-05,-8.76745830591608e-14,4.3837291526922644e-23,-1.5946214076309764e-23,8.767458304321424e-05
64,-999.0,-1e-09,8.767458307510701e-05,8.767458309105322e-14,4.3837291548184375e-23,-1.5946208316248757e-23,8.767458310699977e-05
64,-999.0,0.1,8.767458307510701e-05,-8.614547767211577e-06,4.282375313686939e-07,-1.529105402991246e-07,8.469006824101134e-05
64,-999.0,-0.1,8.767458307510701e-05,8.931956190209724e-06,4.493777866950212e-07,-1.6449788269902227e-07,9.100776621793958e-05
64,-750.0,0.0,9e-05,0.0,0.0,0.0,9e-05
64,-750.0,1e-14,9e-05,-9.000000000000002e-19,4.5000000000000006e-33,1.1105934105491404e-34,9e-05
64,-750.0,-1e-14,9e-05,8.999999999999998e-19,4.5e-33,1.44940658945086e-34,9e-05
64,-750.0,1e-09,9e-05,-8.999999999872003e-14,4.499999999914669e-23,-1.2799746210043524e-24,8.999999999744003e-05
64,-750.0,-1e-09,9e-05,9.000000000127998e-14,4.500000000085333e-23,-1.2799712329442411e-24,9.000000000255998e-05
64,-750.0,0.1,9e-05,-8.987236076182675e-06,4.4914937356007224e-07,-1.2763923817325887e-08,8.974508464367624e-05
64,-750.0,-0.1,9e-05,9.012835603098236e-06,4.508560023800037e-07,-1.2835603098234953e-08,9.02570657203693e-05
64,-500.0,0.0,0.00012,0.0,0.0,0.0,0.00012
64,-500.0,1e-14,0.00012,-1.2e-18,6e-33,3.388131789017196e-35,0.00012
64,-500.0,-1e-14,0.00012,1.2e-18,6e-33,-3.388131789017196e-35,0.00012
64,-500.0,1e-09,0.00012,-1.2000000000000002e-13,6.000000000000001e-23,3.388077177416523e-30,0.00012
64,-500.0,-1e-09,0.00012,1.2000000000000002e-13,6.000000000000001e-23,-3.388077177416523e-30,0.00012
64,-500.0,0.1,0.00012,-1.1999945387113622e-05,5.999959040372462e-07,-5.461288637924851e-11,0.00011999836162234767
64,-500.0,-0.1,0.00012,1.1999945387113622e-05,5.999959040372462e-07,5.461288637924851e-11,0.00011999836162234767
64,-1.0,0.0,8.767458307510701e-05,0.0,0.0,0.0,8.767458307510701e-05
64,-1.0,1e-14,8.767458307510701e-05,-8.767458307510716e-19,4.383729153755361e-33,1.563247725334643e-33,8.767458307510732e-05
64,-1.0,-1e-14,8.767458307510701e-05,8.767458307510686e-19,4.38372915375534e-33,1.6209636812644514e-33,8.767458307510669e-05
64,-1.0,1e-09,8.767458307510701e-05,-8.767458309105357e-14,4.3837291548184545e-23,1.5946548237374397e-23,8.76745831070001e-05
64,-1.0,-1e-09,8.767458307510701e-05,8.767458305916046e-14,4.383729152692248e-23,1.594655045658998e-23,8.767458304321392e-05
64,-1.0,0.1,8.767458307510701e-05,-8.931956190209649e-06,4.493777866950174e-07,1.6449788269894678e-07,9.100776621793879e-05
64,-1.0,-0.1,8.767458307510701e-05,8.614547767211644e-06,4.2823753136869726e-07,1.5291054029905667e-07,8.469006824101197e-05
64,-500.0,400.0,0.00012,-0.0400334090474413,8.011737314695589,-0.0079665909525587,8.11674669500225e-05
64,-500.0,-400.0,0.00012,0.0400334090474413,8.011737314695589,0.0079665909525587,8.11674669500225e-05
64,1.0,2.0,0.00012,-8.827555875319156e-05,0.00013027506595176535,-0.00015172444124680843,8.767458307510701e-05
64,-3.0,-2.0,0.00011488782510238027,0.0002225042888357494,0.00021288721702743794,7.271361369011144e-06,8.767458307510701e-05
64,0.0,1e-12,0.00012,-1.1999999999991808e-16,5.999999999994539e-29,-8.191661186813643e-29,0.00011999999999983617
64,-1000.0,9.094947017729282e-13,0.00012,0.0,0.0,-1.0913936421275139e-16,0.00012
64,0.0,-9.094947017729282e-13,0.00012,0.0,0.0,1.0913936421275139e-16,0.00012
128,-999.0,0.0,9.519159023724388e-05,0.0,0.0,0.0,9.519159023724388e-05
128,-999.0,1e-14,9.519159023724388e-05,-9.519159023724348e-19,4.759579511862181e-33,-3.9332325554998806e-33,9.519159023724388e-05
128,-999.0,-1e-14,9.519159023724388e-05,9.519159023724427e-19,4.759579511862207e-33,-3.928681784949957e-33,9.519159023724388e-05
128,-999.0,1e-09,9.519159023724388e-05,-9.519159027655262e-14,4.759579514482791e-23,3.930874006545691e-23,9.51915903158622e-05
128,-999.0,-1e-09,9.519159023724388e-05,9.519159019793515e-14,4.759579509241598e-23,3.9308740481158524e-23,9.519159015862556e-05
128,-999.0,0.1,9.519159023724388e-05,-9.926919871301343e-06,5.03237818896634e-07,4.077608475769543e-07,0.00010343940104648896
128,-999.0,-0.1,9.519159023724388e-05,9.149992442879374e-06,4.5156614741644487e-07,3.6916658084501335e-07,8.80860268391229e-05
128,-750.0,0.0,9e-05,0.0,0.0,0.0,9e-05
128,-750.0,1e-14,9e-05,-8.999999999999998e-19,4.499999999999999e-33,-2.7294065894508588e-34,9e-05
128,-750.0,-1e-14,9e-05,9.000000000000002e-19,4.500000000000001e-33,-2.3905934105491418e-34,9e-05
128,-750.0,1e-09,9e-05,-9.000000000255996e-14,4.5000000001706645e-23,2.5599441600294675e-24,9.000000000511995e-05
128,-750.0,-1e-09,9e-05,8.999999999744006e-14,4.499999999829337e-23,2.559947547867719e-24,8.999999999488006e-05
128,-750.0,0.1,9e-05,-9.025744917384655e-06,4.5171752616888275e-07,2.5744917384653963e-08,9.051632889653651e-05
128,-750.0,-0.1,9e-05,8.974548615967031e-06,4.483044887215368e-07,2.5451384032969382e-08,8.94924768377203e-05
128,-500.0,0.0,0.00012,0.0,0.0,0.0,0.00012
128,-500.0,1e-14,0.00012,-1.2e-18,6e-33,3.3881317890171794e-35,0.00012
128,-500.0,-1e-14,0.00012,1.2e-18,6e-33,-3.3881317890171794e-35,0.00012
128,-500.0,1e-09,0.00012,-1.2000000000000002e-13,6.000000000000001e-23,3.387913342614489e-30,0.00012
128,-500.0,-1e-09,0.00012,1.2000000000000002e-13,6.000000000000001e-23,-3.387913342614489e-30,0.00012
128,-500.0,0.1,0.00012,-1.1999781553823087e-05,5.999836165963679e-07,-2.1844617691350262e-10,0.00011999344675781876
128,-500.0,-0.1,0.00012,1.1999781553823087e-05,5.999836165963679e-07,2.1844617691350262e-10,0.00011999344675781876
128,-1.0,0.0,9.519159023724388e-05,0.0,0.0,0.0,9.519159023724388e-05
128,-1.0,1e-14,9.519159023724388e-05,-9.519159023724348e-19,4.759579511862168e-33,-3.926948701608343e-33,9.519159023724309e-05
128,-1.0,-1e-14,9.519159023724388e-05,9.519159023724427e-19,4.75957951186222e-33,-3.9223979310584194e-33,9.519159023724466e-05
128,-1.0,1e-09,9.519159023724388e-05,-9.51915901979343e-14,4.759579509241556e-23,-3.930957841507646e-23,9.519159015862473e-05
128,-1.0,-1e-09,9.519159023724388e-05,9.519159027655345e-14,4.7595795144828326e-23,-3.930956927089778e-23,9.519159031586302e-05
128,-1.0,0.1,9.519159023724388e-05,-9.149992442879535e-06,4.515661474164526e-07,-3.691665808448524e-07,8.808602683912429e-05
128,-1.0,-0.1,9.519159023724388e-05,9.926919871301154e-06,5.032378188966246e-07,-4.0776084757676665e-07,0.00010343940104648705
128,-500.0,400.0,0.00012,-0.039969901154681436,7.987737986908917,-0.008030098845318568,0.00011546643010784949
128,-500.0,-400.0,0.00012,0.039969901154681436,7.987737986908917,0.008030098845318568,0.00011546643010784949
128,1.0,2.0,0.00012,-0.00010403718047912339,0.00015802263565115027,-0.0001359628195208766,9.519159023724388e-05
128,-3.0,-2.0,0.00010216473362790642,0.00020391373493590566,0.00019037086712920737,4.1573231990719105e-07,9.519159023724388e-05
128,0.0,1e-12,0.00012,-1.1999999999967233e-16,5.999999999978155e-29,-3.2767661186701803e-28,0.00011999999999934464
128,-1000.0,9.094947017729282e-13,0.00012,0.0,0.0,-1.0913936421275139e-16,0.00012
128,0.0,-9.094947017729282e-13,0.00012,0.0,0.0,1.0913936421275139e-16,0.00012
